"trainer/global_step","cnn__medium__l1__True - _step","cnn__medium__l1__True - _step__MIN","cnn__medium__l1__True - _step__MAX","cnn__medium__l1__True - train_loss_step","cnn__medium__l1__True - train_loss_step__MIN","cnn__medium__l1__True - train_loss_step__MAX","cnn__large__l1__True - _step","cnn__large__l1__True - _step__MIN","cnn__large__l1__True - _step__MAX","cnn__large__l1__True - train_loss_step","cnn__large__l1__True - train_loss_step__MIN","cnn__large__l1__True - train_loss_step__MAX","cnn__small__l1__True - _step","cnn__small__l1__True - _step__MIN","cnn__small__l1__True - _step__MAX","cnn__small__l1__True - train_loss_step","cnn__small__l1__True - train_loss_step__MIN","cnn__small__l1__True - train_loss_step__MAX","cnn__expanded__l1__True - _step","cnn__expanded__l1__True - _step__MIN","cnn__expanded__l1__True - _step__MAX","cnn__expanded__l1__True - train_loss_step","cnn__expanded__l1__True - train_loss_step__MIN","cnn__expanded__l1__True - train_loss_step__MAX","cnn__lightweight__l1__True - _step","cnn__lightweight__l1__True - _step__MIN","cnn__lightweight__l1__True - _step__MAX","cnn__lightweight__l1__True - train_loss_step","cnn__lightweight__l1__True - train_loss_step__MIN","cnn__lightweight__l1__True - train_loss_step__MAX"
"3199","32","32","32","0.01744842529296875","0.017120361328125","0.0177764892578125","32","32","32","0.01161956787109375","0.01161956787109375","0.01161956787109375","32","32","32","0.021270751953125","0.0171966552734375","0.0253448486328125","32","32","32","0.0106353759765625","0.0106353759765625","0.0106353759765625","32","32","32","0.017730712890625","0.0146331787109375","0.0208282470703125"
"3299","33","33","33","0.01972198486328125","0.0126495361328125","0.02679443359375","33","33","33","0.01326751708984375","0.01326751708984375","0.01326751708984375","33","33","33","0.015102386474609375","0.01296234130859375","0.017242431640625","33","33","33","0.01148223876953125","0.01148223876953125","0.01148223876953125","33","33","33","0.0235748291015625","0.02215576171875","0.024993896484375"
"3399","34","34","34","0.015468597412109375","0.01522064208984375","0.015716552734375","34","34","34","0.012237548828125","0.012237548828125","0.012237548828125","34","34","34","0.017154693603515625","0.01134490966796875","0.0229644775390625","34","34","34","0.01198577880859375","0.01198577880859375","0.01198577880859375","34","34","34","0.01776123046875","0.013519287109375","0.022003173828125"
"3499","35","35","35","0.0170135498046875","0.0155792236328125","0.0184478759765625","35","35","35","0.015045166015625","0.015045166015625","0.015045166015625","35","35","35","0.012256622314453125","0.01100921630859375","0.0135040283203125","35","35","35","0.0152587890625","0.0152587890625","0.0152587890625","35","35","35","0.01798248291015625","0.0174713134765625","0.01849365234375"
"3599","36","36","36","0.010501861572265625","0.00852203369140625","0.012481689453125","36","36","36","0.0182342529296875","0.0182342529296875","0.0182342529296875","36","36","36","0.0169219970703125","0.015838623046875","0.01800537109375","36","36","36","0.01122283935546875","0.01122283935546875","0.01122283935546875","36","36","36","0.02072906494140625","0.0195770263671875","0.021881103515625"
"3699","37","37","37","0.014461517333984375","0.01128387451171875","0.01763916015625","37","37","37","0.01058197021484375","0.01058197021484375","0.01058197021484375","37","37","37","0.016544342041015625","0.01320648193359375","0.0198822021484375","37","37","37","0.01306915283203125","0.01306915283203125","0.01306915283203125","37","37","37","0.018829345703125","0.017120361328125","0.020538330078125"
"3799","38","38","38","0.013187408447265625","0.0130157470703125","0.01335906982421875","38","38","38","0.00928497314453125","0.00928497314453125","0.00928497314453125","38","38","38","0.01554107666015625","0.0143280029296875","0.016754150390625","38","38","38","0.0110931396484375","0.0110931396484375","0.0110931396484375","38","38","38","0.01769256591796875","0.01763916015625","0.0177459716796875"
"3899","39","39","39","0.01371002197265625","0.009246826171875","0.0181732177734375","39","39","39","0.01035308837890625","0.01035308837890625","0.01035308837890625","39","39","39","0.01853179931640625","0.0182647705078125","0.018798828125","39","39","39","0.01441192626953125","0.01441192626953125","0.01441192626953125","39","39","39","0.017154693603515625","0.01459503173828125","0.01971435546875"
"3999","40","40","40","0.01776123046875","0.0173187255859375","0.0182037353515625","40","40","40","0.009552001953125","0.009552001953125","0.009552001953125","40","40","40","0.0132293701171875","0.0117645263671875","0.0146942138671875","40","40","40","0.01187896728515625","0.01187896728515625","0.01187896728515625","40","40","40","0.0209808349609375","0.0156097412109375","0.0263519287109375"
"4099","41","41","41","0.017791748046875","0.0158538818359375","0.0197296142578125","41","41","41","0.008636474609375","0.008636474609375","0.008636474609375","41","41","41","0.0184783935546875","0.016387939453125","0.02056884765625","41","41","41","0.00975799560546875","0.00975799560546875","0.00975799560546875","41","41","41","0.01265716552734375","0.01235198974609375","0.01296234130859375"
